yy;IT0460A;IT0461A;IT0459A;IT1361A;IT1827A;IT1842A;IT1843A;IT2061A;IT1796A;IT1773A;IT1795A;IT1578A;IT2177A;IT1894A;IT2289A
2013;4;4;4;NA;4;NA;NA;4;NA;NA;NA;4;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2015;4;4;4;4;NA;4;4;4;4;NA;NA;4;4;4;NA
2016;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;NA
2017;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;NA
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA
2019;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
