yy;IT2019A;IT2018A;IT1932A;IT1823A;IT1818A;IT1822A;IT1817A;IT2139A;IT2051A;IT2144A;IT2044A;IT2142A;IT2141A;IT2058A;IT2146A;IT1660A;IT1657A;IT1621A;IT1598A;IT1624A;IT1617A;IT1601A;IT1704A;IT1603A;IT1679A;IT1680A;IT1614A;IT1658A;IT1687A;IT1663A;IT1618A;IT1664A;IT1611A;IT1701A;IT1702A;IT1609A;IT1610A;IT1613A;IT1665A;IT1666A;IT1606A;IT1607A;IT1608A;IT2003A;IT2151A;IT2137A;IT2150A;IT2148A;IT2149A;IT2143A;IT2021A;IT1953A;IT2145A
2013;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA
2015;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA
2016;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA
2017;4;4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2018;4;NA;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4
2019;4;NA;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4
2020;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
