yy;IT0983A;IT0978A;IT0988A;IT1976A;IT1725A;IT2234A;IT2233A;IT2266A;IT2284A
2013;4;4;4;4;4;NA;NA;NA;NA
2014;4;NA;4;NA;4;NA;NA;NA;NA
2015;4;NA;4;NA;NA;4;4;NA;NA
2016;4;NA;4;NA;NA;4;4;4;NA
2017;4;NA;4;NA;NA;4;4;NA;NA
2018;4;NA;4;NA;NA;4;4;NA;4
2019;4;NA;4;NA;NA;NA;4;NA;4
2020;4;NA;4;NA;NA;NA;4;NA;4
