yy;IT1307A;IT1309A;IT1243A;IT1378A;IT1383A;IT1220A;IT1350A;IT1277A;IT1377A;IT1278A;IT1280A;IT1375A;IT1397A;IT1396A;IT1347A;IT1427A;IT1428A;IT1269A;IT1273A;IT1270A;IT1994A;IT2009A;IT1993A;IT2010A;IT2006A;IT1998A;IT1947A;IT2008A;IT2011A;IT2005A;IT1996A;IT1992A;IT2059A;IT2060A;IT2040A;IT2049A;IT2055A;IT2056A;IT1576A;IT1575A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2016;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2017;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;NA;4;4;4;4;NA;NA;4;4;4;NA;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4
2020;NA;4;4;4;4;NA;NA;4;4;4;NA;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4
