yy;IT0963A;IT0448A;IT0663A;IT1453A;IT1336A;IT1215A;IT1177A;IT1328A;IT1340A;IT1214A;IT1343A;IT1905A;IT1870A;IT1848A;IT1936A;IT1838A;IT1862A;IT1871A;IT1880A;IT2071A;IT2072A;IT2070A;IT1619A;IT1790A;IT1594A;IT1535A;IT1596A;IT1590A;IT1934A;IT2231A;IT1213A;IT0441A;IT2243A;IT2245A;IT1222A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA
2016;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;NA;NA
2017;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA
2018;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;NA
2019;4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;NA
2020;4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;4
