yy;IT1010A;IT0707A;IT0742A;IT0692A;IT0840A;IT0740A;IT0839A;IT0906A;IT0778A;IT0776A;IT0997A;IT0706A;IT0705A;IT0709A;IT1016A;IT0524A;IT0771A;IT0912A;IT0908A;IT1034A;IT0594A;IT0846A;IT0267A;IT0777A;IT1104A;IT1294A;IT1286A;IT1392A;IT1385A;IT1190A;IT1463A;IT1287A;IT1388A;IT1153A;IT1464A;IT1459A;IT1865A;IT1876A;IT1812A;IT1868A;IT1874A;IT1826A;IT1964A;IT1965A;IT1967A;IT1873A;IT1869A;IT2095A;IT2079A;IT2063A;IT2062A;IT1648A;IT1588A;IT1692A;IT1737A;IT1646A;IT1734A;IT1735A;IT1650A;IT1743A;IT1739A;IT2098A;IT2007A;IT0689A;IT0837A;IT0477A;IT1792A
2013;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA
2016;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;NA
2017;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
