yy;IT1798A;IT1800A;IT1801A;IT1962A;IT1804A;IT1802A;IT1753A
2013;4;NA;NA;4;NA;NA;4
2014;4;4;NA;NA;4;4;4
2015;4;NA;NA;4;4;4;4
2017;4;NA;4;4;4;4;NA
2018;4;NA;4;NA;4;4;NA
2016;NA;4;4;NA;4;4;4
2019;NA;NA;NA;4;NA;NA;NA
2020;NA;NA;NA;4;NA;NA;NA
