yy;IT0469A;IT0643A;IT0470A;IT1128A;IT1130A;IT1114A;IT1247A;IT1121A;IT1246A;IT1904A;IT1877A;IT1847A;IT1830A;IT1948A;IT1963A;IT1903A;IT1878A;IT1961A;IT2104A;IT2117A;IT2121A;IT2168A;IT1676A;IT1532A;IT1788A;IT1529A;IT1510A;IT1518A;IT1582A;IT1523A;IT1524A;IT1509A;IT1533A;IT1519A;IT2116A;IT2102A;IT2118A;IT2128A;IT2101A;IT2282A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2015;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2016;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2017;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;NA;4;4;4;NA;NA
2019;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;NA;NA;NA;NA;4;4;4;4;4;NA;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA
2020;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4
