yy;IT0871A;IT0952A;IT0863A;IT0825A;IT0953A;IT0867A;IT0992A;IT0828A;IT0884A;IT0869A;IT0888A;IT0989A;IT0991A;IT0889A;IT0864A;IT0887A;IT0865A;IT0956A;IT0868A;IT0870A;IT0885A;IT0957A;IT0872A;IT1176A;IT1183A;IT1184A;IT1200A;IT1835A;IT1841A;IT2013A;IT1906A;IT2023A;IT1836A;IT1834A;IT2012A;IT1837A;IT2172A;IT2173A;IT2174A;IT2175A;IT2246A;IT2264A;IT2250A;IT2251A;IT2255A;IT2248A;IT2257A;IT2253A;IT2254A;IT2249A;IT2252A;IT2247A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4
2019;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
