yy;IT0937A;IT0898A;IT0934A;IT0935A;IT0936A;IT0897A;IT0938A;IT1491A;IT1486A;IT1487A;IT1492A;IT1488A;IT1493A;IT1504A;IT1496A;IT1497A;IT1495A;IT2218A;IT2213A;IT2212A;IT2215A;IT2211A;IT2216A;IT2210A;IT2214A;IT2219A;IT2227A;IT2226A;IT2228A;IT2268A;IT2269A;IT2270A;IT2272A;IT2222A;IT2220A;IT2273A;IT2277A;IT2283A;IT2223A;IT2221A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;NA;4;4;NA;4;NA;NA;4;4;4;NA;NA;4;4;4;NA;4;NA;4;4;4;NA;4;4;4;4;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;NA;4;4;NA;NA;NA;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA
2018;NA;4;4;NA;NA;NA;NA;4;4;4;NA;4;4;4;4;4;4;NA;4;NA;4;4;4;4;NA;4;4;4;NA;4;NA;4;4;4;4;NA;4;NA;NA;NA
2020;NA;4;4;NA;NA;NA;NA;4;4;4;NA;4;4;4;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4
2016;NA;NA;NA;NA;NA;NA;NA;4;4;4;NA;4;4;4;4;NA;4;4;NA;4;4;NA;NA;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;NA;NA;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;NA;NA;4;4;NA;NA;NA
