yy;IT1011A;IT1365A;IT1180A;IT1182A;IT1900A;IT1901A;IT1860A;IT2004A;IT1902A;IT2064A;IT2066A;IT2068A;IT2067A;IT2105A;IT2099A;IT2100A;IT1728A;IT1745A;IT2134A;IT2114A;IT2109A;IT2113A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2016;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2017;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;NA;4;4;4;4
2020;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4
