yy;IT0966A;IT1170A;IT1474A;IT1107A;IT1137A;IT1475A;IT1090A;IT1477A;IT1476A;IT2170A;IT2169A;IT2152A;IT1538A;IT1537A;IT2115A;IT2131A;IT2130A;IT2129A;IT2132A;IT2133A;IT1587A;IT1112A;IT1166A;IT1259A;IT2140A;IT2201A;IT2182A;IT2200A;IT1168A;IT2263A;IT2262A;IT2261A;IT2260A;IT2280A;IT1097A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA
2016;4;4;NA;NA;4;NA;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA
2017;4;4;NA;NA;NA;4;4;4;NA;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA
2018;4;4;NA;NA;NA;4;4;NA;NA;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;4;4;NA;NA;NA;4;4;NA;NA;4;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA
