yy;IT1264A;IT1208A;IT1423A;IT1856A;IT1977A;IT1857A;IT2161A;IT2167A;IT2166A;IT1420A
2013;4;4;4;4;4;4;NA;NA;NA;NA
2014;4;4;4;4;4;4;NA;NA;NA;NA
2015;4;4;4;4;4;4;NA;NA;NA;NA
2016;4;4;4;4;4;4;4;NA;NA;NA
2017;4;4;4;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;4;4
2019;4;4;4;4;4;NA;4;4;4;NA
2020;4;4;4;4;4;4;4;4;4;4
