yy;IT1193A;IT1897A;IT1585A;IT1586A;IT1583A;IT1740A;IT2203A;IT2202A;IT2204A;IT2205A
2013;4;4;4;4;4;4;4;4;4;4
2016;4;4;4;4;4;4;4;4;4;4
2017;4;4;4;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;4;4
2019;4;4;NA;4;4;4;4;4;4;4
2020;4;4;4;4;4;4;4;4;4;4
2015;NA;4;4;4;4;4;4;4;4;4
2014;NA;NA;4;NA;4;NA;4;NA;NA;4
