yy;IT0618A;IT0611A;IT0817A;IT0612A;IT0815A;IT0614A;IT0813A;IT0615A;IT0545A;IT1080A;IT1282A;IT1411A;IT1346A;IT1443A;IT1079A;IT1078A;IT1082A;IT1348A;IT1207A;IT1076A;IT1890A;IT1997A;IT1889A;IT1829A;IT1899A;IT1888A;IT1898A;IT2052A;IT1718A;IT1552A;IT1721A;IT1566A;IT1440A;IT2207A;IT0620A;IT2206A;IT2275A;IT2274A;IT2281A;IT0794A;IT1449A;IT2288A;IT2287A
2013;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;NA;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;4;4;NA;NA;4;4;4;NA;NA;NA;NA;NA;4;NA;4;4;4;4;NA;4;4;4;4;NA;4;4;4;4;4;4;NA;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA
2016;4;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;4;NA;NA;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
2017;4;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;4;NA;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;NA;4;4;4;NA;NA;NA;NA
2018;4;NA;NA;NA;4;4;4;NA;NA;NA;NA;NA;4;NA;4;4;NA;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;NA;NA;4;NA;4;4;4;4;4
2019;4;4;NA;NA;4;4;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;4;NA;4;NA;4;NA;4;4;4;4;NA
2020;4;4;4;NA;4;4;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;4;NA;4;NA;4;4;4;NA;4;NA;NA;NA;NA;NA;4;4;NA;4;4;4;4;4;NA
