yy;IT1938A;IT2026A;IT1940A;IT2078A;IT2194A;IT2031A;IT1766A;IT2195A;IT1989A;IT2028A;IT2087A;IT2089A;IT2112A;IT2111A;IT2091A;IT2110A;IT2086A;IT2092A;IT2093A;IT2088A;IT2090A;IT2094A
2014;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;NA
2016;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2017;4;NA;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2018;4;NA;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2013;NA;4;NA;NA;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
