yy;IT0895A;IT1029A;IT0544A;IT1048A;IT0940A;IT0892A;IT1043A;IT0804A;IT1030A;IT1044A;IT0187A;IT0721A;IT0903A;IT0755A;IT0702A;IT1159A;IT1204A;IT1179A;IT1163A;IT1451A;IT1152A;IT1105A;IT1911A;IT1910A;IT1916A;IT1928A;IT1923A;IT1917A;IT1908A;IT1914A;IT1918A;IT1975A;IT2027A;IT1920A;IT2073A;IT2074A;IT2075A;IT2097A;IT2076A;IT1672A;IT1670A;IT1771A;IT1921A;IT2156A;IT2158A;IT2209A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA
2014;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;NA
2015;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;NA
2016;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4
2017;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4
2018;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4
2019;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4
2020;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4
