yy;IT0854A;IT0858A;IT0852A;IT1192A;IT1233A;IT1232A;IT1457A;IT1144A;IT1145A;IT1143A;IT1883A;IT1886A;IT2107A;IT2039A;IT2038A;IT2108A;IT1580A;IT1698A;IT1706A;IT1544A;IT1661A;IT1536A;IT1943A;IT1456A;IT2229A;IT2155A;IT1026A;IT1887A;IT1549A;IT2286A;IT1884A;IT1882A
2013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;NA;NA;NA;NA;NA;NA;NA
2016;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA
2017;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA
2018;4;4;NA;4;NA;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;NA;NA
2020;4;4;4;NA;NA;4;4;4;4;4;4;4;4;4;4;4;NA;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;NA;4;4;NA;NA;4;4;4;NA;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA
